file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [21-Jun-2025 07:47:32 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:51:21 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:21 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:21 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:21 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:21 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:21 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:21 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:21 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:21 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:21 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:21 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:22 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:22 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:22 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:22 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:32 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:32 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:32 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:32 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:33 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:33 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:34 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:34 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:34 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:34 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:34 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:34 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:34 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:34 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:34 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:34 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:34 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:34 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:35 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:35 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:36 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:36 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:36 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:36 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:37 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:37 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:48 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/wp-easy-digg/wp-easy-digg.php on line 593

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wp-easy-digg"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1034:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:34:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
