file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 17:25:15 UTC] PHP Warning:  Undefined variable $hqcrm in /wordpress/wp-content/plugins/hq-goabroad/includes/utils.php on line 435
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
#5 /wordpress/wp-content/plugins/hq-rental-software/hq-wordpress.php(39): HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation()
#6 /wordpress/wp-includes/class-wp-hook.php(324): HQRentalsPlugin\hq_rentals_wordpress_activation(false)
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_hq-ren...', false)
#10 /internal/eval.php(20): activate_plugin('hq-rental-softw...')
#11 {main}</pre>
 for query  made by activate_plugin, do_action('activate_hq-rental-software/hq-wordpress.php'), WP_Hook->do_action, WP_Hook->apply_filters, HQRentalsPlugin\hq_rentals_wordpress_activation, HQRentalsPlugin\HQRentalsSettings\HQRentalsBootstrap->onPluginActivation, HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges, HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 17:31:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p></p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown query type: .
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(219): WP_SQLite_DB->query('')
#2 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbManager.php(40): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->query('')
#3 /wordpress/wp-content/plugins/hq-rental-software/includes/db/HQRentalsDbBootstrapper.php(36): HQRentalsPlugin\HQRentalsDb\HQRentalsDbManager->updateTableOnChanges('hq_brands', Array)
#4 /wordpress/wp-content/plugins/hq-rental-software/includes/settings/HQRentalsBootstrap.php(126): HQRentalsPlugin\HQRentalsDb\HQRentalsDbBootstrapper->createTablesOnInit()
